"","gene_id","log2FoldChange","pvalue","padj","FC","direction","prob","miRNA_family","maxinternum"
"84","hsa-mir-21",6.71247400771672,7.69689090637566e-96,5.16461379817807e-93,104.871147827774,"up","mir-21","miR-21-5p",3
"85","hsa-mir-212",1.14290734030821,0.0109723890637832,0.0215276990111068,2.20825586055487,"up","mir-212","miR-212-5p",5
"86","hsa-mir-216a",3.17297235744271,0.00161105575369486,0.00365167718547523,9.019030487631,"up","mir-216","miR-216a-5p",4
"87","hsa-mir-216a",3.17297235744271,0.00161105575369486,0.00365167718547523,9.019030487631,"up","mir-216","miR-216b-5p",4
"88","hsa-mir-217",4.8061294831525,2.22797088352343e-12,1.29997257638628e-11,27.9762266314756,"up","mir-217","miR-217-5p",4
"89","hsa-mir-218-1",2.70033558929435,1.15229913318363e-06,3.77167179690836e-06,6.49953086892287,"up","mir-218","miR-218-5p",4
"90","hsa-mir-218-2",4.26757646548146,2.74241278424985e-09,1.17958908861003e-08,19.2605429182095,"up","mir-218","miR-218-5p",4
"91","hsa-mir-219a-1",-1.01573001317753,0.0169660854045625,0.0321588793967838,2.02192574188869,"down","mir-219","miR-219-5p",3
"92","hsa-mir-221",1.02172719730112,0.000133295610799961,0.000362110748367507,2.03034824197233,"up","mir-221","miR-221-3p=222-3p",3
"93","hsa-mir-223",2.6085041028097,1.56939752773733e-16,1.2536496917997e-15,6.09870994472278,"up","mir-223","miR-223-3p",3
"94","hsa-mir-23a",1.66404536626989,2.1168603562259e-15,1.51107797768892e-14,3.16903889415218,"up","mir-23","miR-23-3p",4
"95","hsa-mir-24-1",2.96775581223238,4.45349678833207e-29,6.6406585443796e-28,7.82318353862246,"up","mir-24","miR-24-3p",3
"96","hsa-mir-24-2",3.08488317120785,9.26477102079346e-33,2.00537463062981e-31,8.48481480665764,"up","mir-24","miR-24-3p",3
"97","hsa-mir-25",1.57249694056476,6.21599075652502e-11,3.18391587605213e-10,2.97419026105502,"up","mir-25","miR-25-3p=32-5p=92-3p=363-3p=367-3p",4
"98","hsa-mir-26a-1",2.56309502294453,3.5459566321485e-22,3.90055229536335e-21,5.90974148596155,"up","mir-26","miR-26-5p",4
"99","hsa-mir-26a-2",2.58203826435183,2.68278083808125e-24,3.27299262245913e-23,5.98785075979801,"up","mir-26","miR-26-5p",4
"100","hsa-mir-26b",2.71368215054113,2.9440762871854e-30,5.06532099667027e-29,6.55993786809023,"up","mir-26","miR-26-5p",4
"101","hsa-mir-27a",2.86952963697401,2.77024043079451e-32,5.4671509678327e-31,7.30826849271078,"up","mir-27","miR-27-3p",10
"102","hsa-mir-27b",1.78081053670336,5.48463042906259e-07,1.8493402100005e-06,3.43619172901349,"up","mir-27","miR-27-3p",10
"103","hsa-mir-31",4.32682101892213,1.21661821241564e-06,3.96286806082957e-06,20.067945483975,"up","mir-31","miR-31-5p",3
"104","hsa-mir-338",3.82458560126073,8.22028273138008e-10,3.72689845456489e-09,14.1682100541079,"up","mir-338","miR-338-3p",3
